date,Aladdin,KinkyBoots,LesMiserables14,Matilda,TheBookOfMormon,TheLionKing,ThePhantomOfTheOpera,Wicked
2015-1-4,1842291,1572870,1425137,1502817,2224280,2514994,1649106,2740642
2015-1-11,1388395,1006029,759690,879385,1609728,1840464,814242,1593224
2015-1-18,1487116,1051429,724649,987374,1659010,1721611,747735,1684664
2015-1-25,1347820,1001877,609270,805176,1575262,1641207,689571,1500725
2015-2-1,1119398,839718,565551,682942,1423750,1337983,555046,1291035
2015-2-8,1203871,819594,511848,692151,1455237,1463314,583683,1262017
2015-2-15,1489612,1012786,669499,945588,1648502,1726042,721008,1586692
2015-2-22,1546267,939884,710992,1037118,1548797,1940457,829721,1646631
2015-3-1,1198904,804924,571871,701215,1433408,1490989,561366,1204467
2015-3-8,1148004,814313,624346,714894,1450723,1450034,651741,1352213
2015-3-15,1320262,1012351,790406,949057,1540949,1824627,847147,1818766
2015-3-22,1445641,1056517,834837,1049234,1547575,1901829,974043,1855247
2015-3-29,1569812,1004700,800286,1137135,1529584,2064202,964013,1872149
2015-4-5,2024667,937627,981252,1416637,1517640,2633531,1230960,2358372
2015-4-12,1768354,1082034,919372,1248351,1517969,2293061,1097215,2181861
2015-4-19,1534574,926778,710489,953753,1467290,1843463,774420,1655749
2015-4-26,1492453,927593,724981,995903,1469646,1972747,866892,1741459
2015-5-3,1408344,901034,571832,735660,1407988,1908299,837178,1387456
2015-5-10,1422347,929720,583967,762461,1446131,1701798,788386,1469322
2015-5-17,1467090,1017917,675325,846868,1534408,1966567,883247,1601725
2015-5-24,1516242,1012506,805027,941402,1551727,2066573,1074914,1776153
2015-5-31,1469138,855703,611524,876521,1417312,2026910,928487,1670922
2015-6-7,1535301,832015,564893,873458,1478236,1959636,883328,1737141
2015-6-14,1592508,880700,639481,1058673,1494196,2102748,980877,1954144
2015-6-21,1625997,867192,659355,1044453,1517932,2154719,982442,1947674
2015-6-28,1644688,969479,747267,1117587,1524996,2120670,986653,2047143
2015-7-5,1598424,823566,689495,1039197,1382123,2143344,971851,1864235
2015-7-12,1787410,841500,688996,1077379,1450865,2308891,914409,1900091
2015-7-19,1833662,909402,801902,1110520,1654152,2620016,1064460,2167815
2015-7-26,1831846,951252,812848,1133454,1505083,2408501,1090134,2002632
2015-8-2,1854407,890611,766999,1108854,1474355,2624288,1090526,2118401
2015-8-9,2078163,905672,811144,1109694,1605195,2333537,1068693,1980056
2015-8-16,1778618,882154,787374,1002243,1448473,2165067,1015752,1913037
2015-8-23,1720395,858668,741136,937915,1443333,1986190,928397,1751974
2015-8-30,1582804,800205,754427,841368,1420003,1835217,806639,1492152
2015-9-6,1530035,975465,808664,748542,1508403,1741459,814978,1560536
2015-9-13,1386168,878766,768084,715374,1438096,1727320,844824,1472236
2015-9-20,1450679,1001377,837432,766043,1478350,1791791,959752,1570535
2015-9-27,1347833,901823,675925,624478,1489769,1758556,850070,1426156
2015-10-4,1365965,873788,671289,662128,1489412,1892393,857083,1454570
2015-10-11,1641903,1040633,740253,869471,1576943,2033230,997919,1765268
2015-10-18,1558094,1021115,759497,795271,1497673,1932132,970991,1720707
2015-10-25,1500799,981435,744129,768398,1483464,1901907,882925,1621057
2015-11-1,1243826,686895,480903,555965,1377010,1640663,730947,1346650
2015-11-8,1486244,925105,652409,811640,1500520,1764832,778945,1583873
2015-11-15,1467772,908831,672632,735997,1487214,1633344,777401,1646787
2015-11-22,1348847,819184,600492,683499,1402842,1712500,663090,1508157
2015-11-29,2048348,954445,847062,1158878,1771091,2436498,1045645,2290873
2015-12-6,1605876,1016279,717333,789026,1536445,1983820,754615,1683339
2015-12-13,1586494,983039,681566,776648,1593849,2008986,741288,1732290
2015-12-20,1704819,844200,784124,916089,1613034,2152296,860033,1903218
2015-12-27,2095364,1075999,1139926,1172663,1891356,2588075,1458784,2400920