date,Aladdin,KinkyBoots,LesMiserables14,Matilda,TheBookOfMormon,TheLionKing,ThePhantomOfTheOpera,Wicked,week
4-Jan-15,1.842291,1.57287,1.425137,1.502817,2.22428,2.514994,1.649106,2.740642,1
11-Jan-15,1.388395,1.006029,0.75969,0.879385,1.609728,1.840464,0.814242,1.593224,2
18-Jan-15,1.487116,1.051429,0.724649,0.987374,1.65901,1.721611,0.747735,1.684664,3
25-Jan-15,1.34782,1.001877,0.60927,0.805176,1.575262,1.641207,0.689571,1.500725,4
1-Feb-15,1.119398,0.839718,0.565551,0.682942,1.42375,1.337983,0.555046,1.291035,5
8-Feb-15,1.203871,0.819594,0.511848,0.692151,1.455237,1.463314,0.583683,1.262017,6
15-Feb-15,1.489612,1.012786,0.669499,0.945588,1.648502,1.726042,0.721008,1.586692,7
22-Feb-15,1.546267,0.939884,0.710992,1.037118,1.548797,1.940457,0.829721,1.646631,8
1-Mar-15,1.198904,0.804924,0.571871,0.701215,1.433408,1.490989,0.561366,1.204467,9
8-Mar-15,1.148004,0.814313,0.624346,0.714894,1.450723,1.450034,0.651741,1.352213,10
15-Mar-15,1.320262,1.012351,0.790406,0.949057,1.540949,1.824627,0.847147,1.818766,11
22-Mar-15,1.445641,1.056517,0.834837,1.049234,1.547575,1.901829,0.974043,1.855247,12
29-Mar-15,1.569812,1.0047,0.800286,1.137135,1.529584,2.064202,0.964013,1.872149,13
5-Apr-15,2.024667,0.937627,0.981252,1.416637,1.51764,2.633531,1.23096,2.358372,14
12-Apr-15,1.768354,1.082034,0.919372,1.248351,1.517969,2.293061,1.097215,2.181861,15
19-Apr-15,1.534574,0.926778,0.710489,0.953753,1.46729,1.843463,0.77442,1.655749,16
26-Apr-15,1.492453,0.927593,0.724981,0.995903,1.469646,1.972747,0.866892,1.741459,17
3-May-15,1.408344,0.901034,0.571832,0.73566,1.407988,1.908299,0.837178,1.387456,18
10-May-15,1.422347,0.92972,0.583967,0.762461,1.446131,1.701798,0.788386,1.469322,19
17-May-15,1.46709,1.017917,0.675325,0.846868,1.534408,1.966567,0.883247,1.601725,20
24-May-15,1.516242,1.012506,0.805027,0.941402,1.551727,2.066573,1.074914,1.776153,21
31-May-15,1.469138,0.855703,0.611524,0.876521,1.417312,2.02691,0.928487,1.670922,22
7-Jun-15,1.535301,0.832015,0.564893,0.873458,1.478236,1.959636,0.883328,1.737141,23
14-Jun-15,1.592508,0.8807,0.639481,1.058673,1.494196,2.102748,0.980877,1.954144,24
21-Jun-15,1.625997,0.867192,0.659355,1.044453,1.517932,2.154719,0.982442,1.947674,25
28-Jun-15,1.644688,0.969479,0.747267,1.117587,1.524996,2.12067,0.986653,2.047143,26
5-Jul-15,1.598424,0.823566,0.689495,1.039197,1.382123,2.143344,0.971851,1.864235,27
12-Jul-15,1.78741,0.8415,0.688996,1.077379,1.450865,2.308891,0.914409,1.900091,28
19-Jul-15,1.833662,0.909402,0.801902,1.11052,1.654152,2.620016,1.06446,2.167815,29
26-Jul-15,1.831846,0.951252,0.812848,1.133454,1.505083,2.408501,1.090134,2.002632,30
2-Aug-15,1.854407,0.890611,0.766999,1.108854,1.474355,2.624288,1.090526,2.118401,31
9-Aug-15,2.078163,0.905672,0.811144,1.109694,1.605195,2.333537,1.068693,1.980056,32
16-Aug-15,1.778618,0.882154,0.787374,1.002243,1.448473,2.165067,1.015752,1.913037,33
23-Aug-15,1.720395,0.858668,0.741136,0.937915,1.443333,1.98619,0.928397,1.751974,34
30-Aug-15,1.582804,0.800205,0.754427,0.841368,1.420003,1.835217,0.806639,1.492152,35
6-Sep-15,1.530035,0.975465,0.808664,0.748542,1.508403,1.741459,0.814978,1.560536,36
13-Sep-15,1.386168,0.878766,0.768084,0.715374,1.438096,1.72732,0.844824,1.472236,37
20-Sep-15,1.450679,1.001377,0.837432,0.766043,1.47835,1.791791,0.959752,1.570535,38
27-Sep-15,1.347833,0.901823,0.675925,0.624478,1.489769,1.758556,0.85007,1.426156,39
4-Oct-15,1.365965,0.873788,0.671289,0.662128,1.489412,1.892393,0.857083,1.45457,40
11-Oct-15,1.641903,1.040633,0.740253,0.869471,1.576943,2.03323,0.997919,1.765268,41
18-Oct-15,1.558094,1.021115,0.759497,0.795271,1.497673,1.932132,0.970991,1.720707,42
25-Oct-15,1.500799,0.981435,0.744129,0.768398,1.483464,1.901907,0.882925,1.621057,43
1-Nov-15,1.243826,0.686895,0.480903,0.555965,1.37701,1.640663,0.730947,1.34665,44
8-Nov-15,1.486244,0.925105,0.652409,0.81164,1.50052,1.764832,0.778945,1.583873,45
15-Nov-15,1.467772,0.908831,0.672632,0.735997,1.487214,1.633344,0.777401,1.646787,46
22-Nov-15,1.348847,0.819184,0.600492,0.683499,1.402842,1.7125,0.66309,1.508157,47
29-Nov-15,2.048348,0.954445,0.847062,1.158878,1.771091,2.436498,1.045645,2.290873,48
6-Dec-15,1.605876,1.016279,0.717333,0.789026,1.536445,1.98382,0.754615,1.683339,49
13-Dec-15,1.586494,0.983039,0.681566,0.776648,1.593849,2.008986,0.741288,1.73229,50
20-Dec-15,1.704819,0.8442,0.784124,0.916089,1.613034,2.152296,0.860033,1.903218,51
27-Dec-15,2.095364,1.075999,1.139926,1.172663,1.891356,2.588075,1.458784,2.40092,52